store_number,recency,frequency,monetary_value
4558,4,1582,162712.27000000005
4559,4,1524,194030.04
4560,4,675,64358.839999999989
4562,12,334,47445.79
4565,11,425,44493.060000000012
4566,4,2020,73837.949999999983
4568,4,1505,228788.28
4569,4,839,84206.87000000001
4571,19,397,54541.55000000001
4573,22,236,35448.770000000011
4575,1,642,70814.530000000028
4577,22,454,49500.48000000001
4578,3,386,53812.080000000009
4582,3,1333,354957.00000000012
4584,4,631,31650.510000000002
4585,29,232,40917.619999999995
4588,4,2081,333041.01000000007
4590,2,637,72163.49
4591,3,482,61683.02
4594,5,1600,48442.960000000006
4596,1,1677,67948.139999999985
4599,2,2004,112021.45
4601,1,1124,63679.350000000013
4602,92,748,95408.199999999953
4603,323,30,3248.0399999999995
4604,5,3425,390848.90000000014
4605,1,872,57498.459999999992
4607,13,191,24786.680000000008
4608,2,673,135911.51
4609,2,731,64755.380000000005
4610,26,255,27777.450000000012
4613,12,261,36712.840000000018
4617,1,5363,401185.76000000018
4621,327,57,6211.13
4622,1,1960,92290.089999999967
4623,15,304,39848.459999999992
4624,59,464,30373.509999999995
4626,1,1423,87717.400000000038
4627,3,422,53521.540000000008
4629,1,1071,103522.37000000001
4630,3,897,242588.66000000003
4631,2,1384,138145.66000000003
4633,15,426,60148.689999999995
4634,192,136,12961.069999999998
4635,82,305,43416.80999999999
4636,80,253,21377.839999999989
4637,68,566,40637.720000000023
4638,5,2336,454702.70000000013
4640,3,973,269464.63999999996
4641,1,1096,108036.34999999999
4642,2,932,103227.75999999997
4643,22,138,28203.020000000015
4644,68,441,51682.579999999987
4645,85,182,21603.240000000005
4651,4,1069,61840.960000000006
4652,5,2618,384264.25
4653,12,857,67738.62
4654,1,663,57164.030000000006
4655,3,594,47671.31
4656,2,561,66178.06
4657,11,535,52002.090000000004
4658,12,335,35009.579999999994
4659,2,330,49162.229999999996
4660,2,494,101139.63999999997
4661,1,1288,34752.049999999996
4663,12,393,51007.73000000001
4664,15,396,59501.850000000006
4665,2,1542,125641.76999999999
4668,2,908,121240.41
4673,3,1379,200140.45000000007
4674,9,1135,83651.85000000002
4675,2,1098,79145.229999999981
4677,5,901,2426343.9899999998
4678,1,1468,382311.97999999992
4679,10,291,27750.500000000011
4684,4,773,105865.44000000005
4685,4,134,12851.849999999997
4687,9,1679,70405.349999999991
4688,12,246,32974.890000000007
4689,24,132,16268.099999999999
4692,16,137,18503.999999999996
4694,4,1181,202816.89999999994
4695,16,256,30916.509999999987
4696,2,1396,53194.25
4697,2,1723,484673.67999999988
4698,3,1746,203365.5
4699,12,273,41299.450000000012
4700,4,671,43087.52
4701,43,49,8037.96
4702,190,88,17850.419999999995
4703,25,310,46998.73
4705,46,248,38169.129999999983
4706,54,66,14159.3
4707,96,36,4241.9199999999992
4708,1,420,56427.540000000008
4709,2,224,44931.810000000012
4710,40,172,25129.880000000008
4711,40,111,14991.83
4712,4,314,39713.409999999996
4713,102,210,9502.1299999999974
4714,11,214,21032.12
4715,12,238,44111.88
4716,31,53,8997.9
4717,12,197,35381.72
4718,16,157,32120.040000000005
4719,47,162,28445.94
4720,29,434,64293.810000000012
4721,15,208,21016.950000000004
4722,1,192,29822.060000000005
4723,30,231,43974.219999999994
4724,89,137,12359.739999999998
4725,2,2524,181033.97000000009
4726,17,360,67024.98
4727,45,123,25142.819999999996
4728,4,699,69391.73000000001
4730,2,596,66921.449999999968
4731,5,356,50589.789999999994
4732,1,359,51755.139999999992
4733,30,356,63718.44
4734,114,164,35960.49
4735,10,151,30801.78
4736,43,141,27944.129999999994
4737,194,22,4275.5399999999991
4738,2,952,77092.540000000023
4739,16,93,19722.719999999998
4740,15,255,52554.659999999982
4741,1,645,79266.189999999973
4743,3,1813,273841.5400000001
4744,9,213,41985.72
4745,40,195,35292.93
4746,82,78,6565.7599999999984
4747,26,231,22466.170000000006
4748,5,353,41928.89
4749,33,188,17658.489999999998
4750,12,337,39431.62
4751,26,78,16695.719999999998
4752,2,1115,183598.48999999993
4753,1,688,52394.970000000008
4754,102,88,16654.920000000002
4755,275,47,8965.32
4756,32,109,24045.899999999998
4757,2,1704,113381.72999999998
4759,220,94,6507.6099999999988
4760,11,376,67527.54
4761,107,129,24765.419999999995
4765,75,111,6316.5200000000013
4766,26,278,25938.400000000005
4767,2,1282,78819.409999999989
4769,4,589,117681.5
4770,3,216,32098.719999999998
4774,10,538,57708.170000000035
4775,1,565,46144.85000000002
4777,10,329,44058.51
4779,15,268,47662.479999999981
4780,3,359,62713.86
4781,19,267,42332.430000000008
4782,15,183,31692.34
4783,3,411,45264.009999999995
4785,1,912,84110.63
4786,4,985,76024.029999999984
4787,4,1466,77378.670000000013
4788,19,143,28121.039999999997
4790,29,509,19286.48
4791,18,90,19511.46
4792,1,658,73485.739999999962
4793,24,432,27951.849999999991
4794,1,2928,190791.93
4795,2,597,100540.78999999998
4796,1,169,36385.56
4797,12,173,36521.16
4798,14,42,7313.5400000000009
4799,29,193,38496.780000000006
4800,29,111,24072.54
4801,51,323,67900.62
4802,2,864,170019.06
4803,1,601,123899.82
4804,2,271,54738.419999999991
4806,5,934,178751.41000000006
4808,1,974,133243.16
4810,2,1397,71425.189999999988
4811,14,306,40334.999999999993
4817,14,448,54744.650000000009
4818,1,994,102668.98
4821,10,471,57861.869999999981
4823,15,412,64189.349999999969
4824,1,747,122411.38
4825,4,388,58966.96
4828,4,420,72820.809999999954
4829,1,18808,13296155.11
4831,1,567,40657.380000000005
4836,18,455,30935.099999999988
4837,11,628,31086.299999999996
4838,1,499,61189.380000000012
4843,19,720,20557.639999999992
4844,46,476,17346.74
4848,11,879,71065.079999999973
4849,1,275,160892.81000000003
4852,5,702,39363.880000000005
4853,2,886,57870.089999999967
